Designator,Mid X,Mid Y,Rotation,Layer
C1,27.7,-60.6,90.0,top
C10,36.935354,-38.8,90.0,top
C11,42.8,-37.2,90.0,top
C12,54.6,-27.8,180.0,top
C13,54.6,-31.2,180.0,top
C14,58.8,-28.7,90.0,bottom
C15,45.1,-65.6,90.0,top
C16,51.2,-69.4,180.0,top
C17,51.05,-80.5,90.0,top
C18,44.65,-80.6,90.0,top
C19,29.867677,-39.6,180.0,top
C2,39.3,-68.6,0.0,top
C3,17.0,-63.2,180.0,top
C4,34.9,-70.3,180.0,top
C5,30.9,-48.66,270.0,top
C6,30.9,-52.16,90.0,top
C7,54.65,-42.45,0.0,top
C8,51.25,-44.05,0.0,top
C9,40.367677,-38.8,90.0,top
D1,46.8,-37.25,180.0,top
D10,57.4,-81.5125,90.0,top
D11,46.4,-18.6,270.0,top
D2,18.0,-71.6,0.0,top
D3,18.0,-73.2,0.0,top
D4,18.0,-74.8,0.0,top
D5,48.0,-18.6,270.0,top
D6,44.8,-18.6,270.0,top
D7,43.2,-18.6,270.0,top
D8,18.0,-76.4,0.0,top
D9,59.0,-81.5125,90.0,top
F1,70.6,-25.6,0.0,top
IC1,49.6,-65.8,0.0,top
J1,24.85,-52.0,270.0,top
J10,31.0,-29.275,0.0,top
J11,58.75,-20.175,0.0,top
J2,65.4,-66.5375,90.0,top
J3,65.4,-55.5,90.0,top
J4,46.35,-74.65,0.0,bottom
J5,60.0875,-74.4,0.0,bottom
J6,25.0,-77.71,180.0,top
J7,34.2,-74.65,0.0,top
J8,65.4,-44.3375,90.0,top
J9,65.4,-33.3375,90.0,top
L1,54.367677,-37.2,0.0,top
Q1,57.8625,-68.45,0.0,top
Q2,57.8625,-57.95,0.0,top
Q3,57.8625,-61.45,0.0,top
Q4,57.8625,-64.95,0.0,top
R1,44.05,-45.25,0.0,top
R10,60.6,-57.9,90.0,top
R11,46.8,-58.4,270.0,top
R12,69.1,-73.3,180.0,top
R13,60.6,-61.4,90.0,top
R14,45.2,-58.4,270.0,top
R15,60.6,-65.0,90.0,top
R16,43.6,-58.4,270.0,top
R17,21.4,-71.6,180.0,top
R18,21.4,-73.2,180.0,top
R19,21.4,-74.8,180.0,top
R2,51.25,-42.45,0.0,top
R20,48.0,-22.0,90.0,top
R21,44.8,-22.0,90.0,top
R22,43.2,-22.0,90.0,top
R23,21.4,-76.4,180.0,top
R24,59.0,-78.1125,270.0,top
R25,57.4,-78.1125,270.0,top
R26,46.4,-22.0,90.0,top
R3,41.25,-44.25,270.0,top
R4,39.65,-44.25,270.0,top
R5,51.25,-45.65,180.0,top
R6,47.65,-45.25,180.0,top
R7,32.6,-58.2,180.0,top
R8,60.6,-68.4,90.0,top
R9,42.0,-58.4,270.0,top
SW1,17.2,-69.6,0.0,top
U1,45.83,-41.65,0.0,top
U2,47.85,-80.6,0.0,top
U5,33.7,-64.240758,270.0,top
U6,38.14,-50.48,0.0,top
